, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
м,0.007397316085661175,0.002687552064955238,2.0735038941858222e-05,3.637726130150565e-07,4.8745530144017575e-05,0,0.002764308086301415,0,2.546408291105396e-06,0.0031615477797138566,0,6.4387752503665e-05,0.00010949555651753202,2.219012939391845e-05,0.0010658537561341157,0.0034172799266634414,0.00018188630650752826,4.0742532657686334e-05,0.00011276951003466753,7.639224873316187e-06,0.002340512992138874,6.1841344212559615e-06,0,2.4008992458993732e-05,2.3645219845978676e-05,6.1841344212559615e-06,4.365271356180678e-06,0.0007984808855680491,3.4922170849445426e-05,3.637726130150565e-07,2.8738036428189466e-05,0.00042888791074475167
н,0.0041975721815807375,0.010402805414391572,9.458087938391471e-06,2.2917674619948562e-05,0.00010076501380517066,0.0008024823843112148,0.008761463384467637,1.3095814068542036e-05,1.4550904520602263e-05,0.0076814224964259345,0,0.00020043870977129615,3.273953517135509e-06,7.27545226030113e-07,0.002644990669232476,0.008487906379480315,5.456589195225848e-06,6.147757159954456e-05,0.0005023699785737931,0.0004077890991898784,0.0021910024481896855,8.730542712361357e-06,5.820361808240904e-06,0.0005914942687624819,0.00017060935550406152,2.000749371582811e-05,0.00011058687435657719,0.0031364474694158175,0.000985460008657788,0,0.00013677850249366126,0.002534767567488914
о,0.02213920122809634,2.182635678090339e-06,0.003293597238238322,0.007565379032874131,0.0046748418498564915,0.004605725053383631,0.0023565189871115363,0.0016868136065508173,0.0009225273466061835,0.0008137593353146815,0.0035991662331709695,0.0015587656467695172,0.006631574735264481,0.004802889809637792,0.006435501296849365,0.0001826138517335584,0.0012240948427956653,0.006124111940108477,0.006802184090768542,0.006609748378483577,5.602098240431871e-05,0.00028010491202159354,0.000501642433347763,6.94805690858758e-05,0.001272840372939683,0.0010691277096512512,0.00014187131907587204,0,0,2.1462584167888337e-05,0.00048017984917987465,0.0006231424860947918
п,4.43802587878369e-05,0.001144428640545368,0,0,8.730542712361357e-06,0,0.002417996558711081,0,0,0.0007351844509034292,0,6.875302385984568e-05,0.000694441918245743,3.637726130150565e-07,6.838925124683063e-05,0.00846753511315147,3.9651214818641164e-05,0.006123384394882447,4.7290439691957354e-06,4.1833850496731504e-05,0.0006453326154887103,1.7461085424722713e-05,0,1.2368268842511923e-05,8.112129270235762e-05,5.092816582210792e-06,1.8188630650752828e-06,0.00025645969217561484,0.0008283102398352838,0,0,0.00032412139819641537
р,0.0013103089520802337,0.008103034954910385,0.00014332640952793228,0.00028483395599078926,0.00028337886553872905,0.00032848666955259605,0.00582145312607995,0.00031175312935390347,3.4558398236430374e-05,0.0049742267103678834,0,0.00022881297358647056,7.311829521602636e-05,0.00027901359418254837,0.0006078640363481595,0.006499161504127,5.638475501733376e-05,1.3459586681557093e-05,0.00021717224996998876,0.0005311080150019826,0.0027930461227296042,1.4914677133617318e-05,9.312578893185447e-05,5.711230024336388e-05,6.802547863381558e-05,0.0002721019145352623,4.5471576626882065e-05,0.0015518539671222312,0.0009334405249966351,3.637726130150565e-07,0.00013459586681557092,0.0009898252800139688
с,0.0028712572345278415,0.0014274437334710819,4.619912185291218e-05,0.0017988555713594546,1.8188630650752827e-05,0.00030011240573742164,0.0034514745522868564,2.1462584167888337e-05,2.946558165421958e-05,0.0014430859558307292,0,0.004615183141322023,0.002431819918005653,0.0009290752536404545,0.0007606485338144832,0.002823239249609854,0.001684994743485742,0.0002870165916688796,0.000836313237321615,0.011054322164301538,0.0007711979395919198,1.2004496229496866e-05,0.00016842671982597119,2.1462584167888337e-05,0.0003313968504567165,8.184883792838772e-05,3.637726130150565e-07,0.0003452202097512887,0.0028847168212093985,0,0.00011349705526069764,0.0030305896390284363
т,0.004451121692852232,0.005411117618598966,2.6555400750099127e-05,0.00254095170191017,1.1276951003466753e-05,0.00014951054394918823,0.004295427014481787,3.637726130150565e-07,5.820361808240904e-06,0.0034114595648552003,0,0.0003790510627616889,0.00024591028639817824,2.219012939391845e-05,0.0009472638842912073,0.014427949377403174,5.893116330843916e-05,0.0025758738727596152,0.0008817848139484971,0.00010258387687024595,0.001395431743525757,7.275452260301131e-06,1.2368268842511923e-05,0.00010840423867848685,0.00017388330902119703,1.455090452060226e-06,1.3459586681557093e-05,0.0013790619759400794,0.005446767334674442,1.0913178390451696e-06,4.8017984917987464e-05,0.0005172846557074104
у,0.0060775490456425494,1.4187131907587205e-05,0.0005569358705260516,0.0008497728240031721,0.0012160918453093341,0.0016944528314241335,0.00020116625499732628,0.0012582894684190805,0.0007868401619515673,1.1640723616481809e-05,7.748356657220704e-05,0.0007613760790405133,0.0011858987184290844,0.0009545393365515084,0.00026591778011400633,8.002997486331244e-06,0.0006406035715195146,0.0005631200049473075,0.0012717490551006378,0.0013164930865014897,2.546408291105396e-06,1.2004496229496866e-05,0.00031102558412787333,7.275452260301131e-06,0.000733365587838354,0.0007035362335711194,0.0002604611909187805,0,0,1.6733540198692602e-05,0.0009410797498699513,6.620661556874029e-05
ф,0.00018988930399385952,0.00013168568591145048,0,0,0,0,0.0001273204145552698,0,0,0.0005442038290705246,0,2.546408291105396e-06,6.584284295572524e-05,1.455090452060226e-06,3.637726130150565e-07,6.584284295572524e-05,0,0.0004667202624983176,6.911679647286074e-06,1.3095814068542036e-05,7.748356657220704e-05,4.001498743165622e-06,0,0,7.27545226030113e-07,0,0,9.458087938391471e-06,3.6377261301505657e-06,0,2.546408291105396e-06,0
х,0.0034667530020334888,0.0008159419709927718,0,0.00012004496229496866,7.27545226030113e-07,7.27545226030113e-07,3.055689949326475e-05,0,0,0.00014696413565808286,0,0,8.912429018868886e-05,5.238325627416814e-05,0.0001054940577743664,0.0020851446178023043,3.637726130150565e-07,8.221261054140279e-05,5.783984546939399e-05,2.5827855524069016e-05,0.0001113144195826073,0,0,0,3.637726130150565e-07,8.730542712361357e-06,0,0,1.8188630650752828e-06,0,0,0
